a,46.08,3.0,u,g,c,v,2.375,t,t,8,t,g,00396,4159,+
a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,00000,0,+
a,27.25,0.29,u,g,m,h,0.125,f,t,1,t,g,00272,108,-
b,31.67,0.83,u,g,x,v,1.335,t,t,8,t,g,00303,3290,+
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,00280,0,+
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,00168,0,-
a,21.50,6.0,u,g,aa,v,2.5,t,t,3,f,g,00080,918,+
a,38.58,5.0,u,g,cc,v,13.5,t,f,0,t,g,00980,0,-
b,25.92,0.875,u,g,k,v,0.375,f,t,2,t,g,00174,3,-
b,20.00,11.045,u,g,c,v,2.0,f,f,0,t,g,00136,0,-
b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,00292,0,-
b,36.17,5.5,u,g,i,bb,5.0,f,f,0,f,g,00210,687,-
b,33.75,2.75,u,g,i,bb,0.0,f,f,0,f,g,00180,0,-
a,33.67,0.375,u,g,cc,v,0.375,f,f,0,f,g,00300,44,+
b,55.92,11.5,u,g,ff,ff,5.0,t,t,5,f,g,00000,8851,+
b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,00515,500,+
b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,00060,396,+
a,58.33,10.0,u,g,q,v,4.0,t,t,14,f,g,00000,1602,+
b,58.58,2.71,u,g,c,v,2.415,f,f,0,t,g,00320,0,-
a,52.50,7.0,u,g,aa,h,3.0,f,f,0,f,g,00000,0,-
b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,00400,5800,+
a,18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,00080,42,-
b,27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,00100,3,-
b,25.83,12.835,u,g,cc,v,0.5,f,f,0,f,g,00000,2,-
a,24.50,1.75,y,p,c,v,0.165,f,f,0,f,g,00132,0,-
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,00000,321,+
a,40.33,7.54,y,p,q,h,8.0,t,t,14,f,g,00000,2300,+
b,31.33,19.5,u,g,c,v,7.0,t,t,16,f,g,00000,5000,+
b,32.08,4.0,y,p,cc,v,1.5,f,f,0,t,g,00120,0,-
b,15.17,7.0,u,g,e,v,1.0,f,f,0,f,g,00600,0,-
b,40.92,2.25,y,p,x,h,10.0,t,f,0,t,g,00176,0,-
b,29.58,4.75,u,g,m,v,2.0,f,t,1,t,g,00460,68,-
a,22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,00129,3257,+
b,21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,00140,100,-
b,67.75,5.5,u,g,e,z,13.0,t,t,1,t,g,00000,0,+
b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,00208,347,-
b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,00181,1655,+
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,00204,0,+
b,23.58,1.79,u,g,c,v,0.54,f,f,0,t,g,00136,1,-
b,36.67,2.0,u,g,i,v,0.25,f,f,0,t,g,00221,0,-
a,38.75,1.5,u,g,ff,ff,0.0,f,f,0,f,g,00076,0,-
a,20.50,11.835,u,g,c,h,6.0,t,f,0,f,g,00340,0,+
b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,00168,0,+
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,00140,0,-
b,31.08,3.085,u,g,c,v,2.5,f,t,2,t,g,00160,41,-
b,19.33,10.915,u,g,c,bb,0.585,f,t,2,t,g,00200,7,-
a,22.67,7.0,u,g,c,v,0.165,f,f,0,f,g,00160,0,-
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,00487,500,+
