a,15.75,0.375,u,g,c,v,1,f,f,0,f,g,00120,18,-
b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,00000,0,+
b,43.17,5,u,g,i,bb,2.25,f,f,0,t,g,00141,0,-
a,45.00,4.585,u,g,k,h,1,f,f,0,t,s,00240,0,-
b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,00443,0,-
a,22.50,11,y,p,q,v,3,t,f,0,t,g,00268,0,-
b,48.33,12,u,g,m,v,16,t,f,0,f,s,00110,0,+
b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,00140,0,-
b,32.75,1.5,u,g,cc,h,5.5,t,t,03,t,g,00000,0,+
b,27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,00720,0,-
b,63.33,0.54,u,g,c,v,0.585,t,t,03,t,g,00180,0,-
b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,00120,0,-
a,24.50,0.5,u,g,q,h,1.5,t,f,0,f,g,00280,824,+
a,?,1.5,u,g,ff,ff,0,f,t,02,t,g,00200,105,-
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,00000,15,+
b,19.42,1.5,y,p,cc,v,2,t,f,0,t,g,00100,20,-
b,35.17,2.5,u,g,k,v,4.5,t,t,07,f,g,00150,1270,+
b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,00186,4700,+
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,00120,0,-
b,49.17,2.29,u,g,ff,ff,0.29,f,f,0,f,g,00200,3,-
b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,00120,0,+
b,18.83,0,u,g,q,v,0.665,f,f,0,f,g,00160,1,-
a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,00491,0,+
b,39.58,5,u,g,ff,ff,0,f,t,02,f,g,00017,1,-
b,39.08,6,u,g,m,v,1.29,t,t,05,t,g,00108,1097,+
b,41.17,4.04,u,g,cc,h,7,t,t,08,f,g,00320,0,+
b,22.75,11.5,u,g,i,v,0.415,f,f,0,f,g,00000,0,-
a,35.17,3.75,u,g,ff,ff,0,f,t,06,f,g,00000,200,-
b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,00280,0,-
b,24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,00110,0,-
a,25.42,1.125,u,g,q,v,1.29,t,t,02,f,g,00200,0,-
b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,00523,0,-
b,20.00,1.25,y,p,k,v,0.125,f,f,0,f,g,00140,4,-
a,16.00,0.165,u,g,aa,v,1,f,t,02,t,g,00320,1,-
b,?,10.5,u,g,x,v,6.5,t,f,0,f,g,00000,0,+
a,69.50,6,u,g,ff,ff,0,f,f,0,f,s,00000,0,-
b,36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,00320,0,+
?,20.08,0.125,u,g,q,v,1,f,t,01,f,g,00240,768,+
a,45.83,10.5,u,g,q,v,5,t,t,07,t,g,00000,0,+
?,26.50,2.71,y,p,?,?,0.085,f,f,0,f,s,00080,0,-
a,31.92,3.125,u,g,ff,ff,3.04,f,t,02,t,g,00200,4,-
b,20.42,1.085,u,g,q,v,1.5,f,f,0,f,g,00108,7,-
b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,00080,0,+
b,32.83,2.5,u,g,cc,h,2.75,t,t,06,f,g,00160,2072,+
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,00711,0,+
b,20.67,0.835,y,p,c,v,2,f,f,0,t,s,00240,0,-
?,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,00372,122,-
b,37.50,0.835,u,g,e,v,0.04,f,f,0,f,g,00120,5,-
b,20.17,5.625,u,g,w,v,1.71,t,f,0,f,s,00120,0,+
b,28.00,2,u,g,k,h,4.165,t,t,02,t,g,00181,0,+
a,35.42,12,u,g,q,h,14,t,t,08,f,g,00000,6590,+
b,19.42,6.5,u,g,w,h,1.46,t,t,07,f,g,00080,2954,+
a,22.58,10.75,u,g,q,v,0.415,t,t,05,t,g,00000,560,+
b,62.75,7,u,g,e,z,0,f,f,0,f,g,00000,12,-
b,51.42,0.04,u,g,x,h,0.04,t,f,0,f,g,00000,3000,+
b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,00290,6,+
b,32.25,14,y,p,ff,ff,0,f,t,02,f,g,00160,1,-
b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,?,0,-
?,24.50,12.75,u,g,c,bb,4.75,t,t,02,f,g,00073,444,+
b,18.83,0.415,y,p,c,v,0.165,f,t,01,f,g,00200,1,-
a,41.17,6.5,u,g,q,v,0.5,t,t,03,t,g,00145,0,+
b,36.17,5.5,u,g,i,bb,5,f,f,0,f,g,00210,687,-
b,40.58,1.5,u,g,i,bb,0,f,f,0,f,s,00300,0,-
b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,00348,0,-
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,00000,1000,+
a,28.67,1.04,u,g,c,v,2.5,t,t,05,t,g,00300,1430,+
b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,00400,5800,+
a,20.42,0.835,u,g,q,v,1.585,t,t,01,f,g,00000,0,+
a,46.08,3,u,g,c,v,2.375,t,t,08,t,g,00396,4159,+
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,00260,0,-
a,25.25,13.5,y,p,ff,ff,2,f,t,01,t,g,00200,1,-
b,28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,00220,140,-
b,44.00,2,u,g,m,v,1.75,t,t,02,t,g,00000,15,+
b,18.83,3.54,y,p,ff,ff,0,f,f,0,t,g,00180,1,-
b,33.17,1,u,g,x,v,0.75,t,t,07,t,g,00340,4071,+
b,32.00,1.75,y,p,e,h,0.04,t,f,0,t,g,00393,0,+
b,42.75,3,u,g,i,bb,1,t,f,0,f,g,00000,200,-
b,27.83,4,y,p,i,h,5.75,t,t,02,t,g,00075,0,-
a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,00440,0,-
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,00188,0,-
b,25.00,11.25,u,g,c,v,2.5,t,t,17,f,g,00200,1208,+
b,25.67,0.29,y,p,c,v,1.5,f,f,0,t,g,00160,0,-
b,?,5,y,p,aa,v,8.5,t,f,0,f,g,00000,0,-
a,41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,00240,237,-
a,50.08,12.54,u,g,aa,v,2.29,t,t,03,t,g,00156,0,+
a,68.67,15,u,g,e,z,0,t,t,14,f,g,00000,3376,+
a,41.33,1,u,g,i,bb,2.25,t,f,0,t,g,00000,300,+
a,16.50,1.25,u,g,q,v,0.25,f,t,01,f,g,00108,98,-
a,24.50,1.04,y,p,ff,ff,0.5,t,t,03,f,g,00180,147,-
?,33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,00200,141,-
b,43.25,3,u,g,q,h,6,t,t,11,f,g,00080,0,+
b,45.00,8.5,u,g,cc,h,14,t,t,01,t,g,00088,2000,+
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,00000,225,-
a,20.67,3,u,g,q,v,0.165,t,t,03,f,g,00100,6,+
b,80.25,5.5,u,g,?,?,0.54,t,f,0,f,g,00000,340,-
a,18.08,0.375,l,gg,cc,ff,10,f,f,0,t,s,00300,0,+
b,49.58,19,u,g,ff,ff,0,t,t,01,f,g,00094,0,-
b,22.17,12.125,u,g,c,v,3.335,f,t,02,t,g,00180,173,-
b,34.42,4.25,u,g,i,bb,3.25,t,t,02,f,g,00274,610,+
a,29.50,0.46,u,g,k,v,0.54,t,t,04,f,g,00380,500,+
b,33.17,3.165,y,p,x,v,3.165,t,t,03,t,g,00380,0,+
b,35.00,3.375,u,g,c,h,8.29,f,f,0,t,g,00000,0,-
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,00000,2200,+
a,58.67,4.46,u,g,q,h,3.04,t,t,06,f,g,00043,560,+
a,16.33,0.21,u,g,aa,v,0.125,f,f,0,f,g,00200,1,-
b,36.50,4.25,u,g,q,v,3.5,f,f,0,f,g,00454,50,-
b,34.25,3,u,g,cc,h,7.415,t,f,0,t,g,00000,0,+
a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,00000,500,+
b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,00000,284,+
a,23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,00120,245,+
b,25.50,0.375,u,g,m,v,0.25,t,t,03,f,g,00260,15108,+
b,25.33,0.58,u,g,c,v,0.29,t,t,07,t,g,00096,5124,+
b,26.00,1,u,g,q,v,1.75,t,f,0,t,g,00280,0,+
b,39.50,1.625,u,g,c,v,1.5,f,f,0,f,g,00000,316,-
b,23.75,0.415,y,p,c,v,0.04,f,t,02,f,g,00128,6,-
a,32.00,6,u,g,d,v,1.25,f,f,0,f,g,00272,0,-
a,25.25,12.5,u,g,d,v,1,f,f,0,t,g,00180,1062,-
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,00160,0,-
b,25.08,1.71,u,g,x,v,1.665,t,t,01,t,g,00395,20,+
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,00120,67,-
b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,00290,284,+
b,?,4,u,g,x,v,5,t,t,03,t,g,00290,2279,+
a,28.50,3.04,y,p,x,h,2.54,t,t,01,f,g,00070,0,+
b,16.33,2.75,u,g,aa,v,0.665,f,t,01,f,g,00080,21,-
b,15.17,7,u,g,e,v,1,f,f,0,f,g,00600,0,-
b,23.42,0.585,u,g,c,h,0.085,t,f,0,f,g,00180,0,-
b,27.83,1.54,u,g,w,v,3.75,t,t,05,t,g,00100,3,+
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,00145,0,-
a,57.58,2,u,g,ff,ff,6.5,f,t,01,f,g,00000,10,-
b,32.42,3,u,g,d,v,0.165,f,f,0,t,g,00120,0,-
b,27.25,1.665,u,g,cc,h,5.085,t,t,09,f,g,00399,827,+
b,26.67,4.25,u,g,cc,v,4.29,t,t,01,t,g,00120,0,+
